Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
1ere classe Roissy CDG Paris Nord 2,"48.9886074118671, 2.51216585709444","{""coordinates"": [2.51216585709444, 48.9886074118671], ""type"": ""Point""}",Premiere classe Roissy CDG Paris Nord 2 - DDS
1ere classe Roissy CDG Paris Nord 2,"48.9883164123191, 2.51204998340593","{""coordinates"": [2.51204998340593, 48.9883164123191], ""type"": ""Point""}",Premiere classe Roissy CDG Paris Nord 2 (TF DDS Hotel) - DDS
ABD BOC,"48.961308660974, 2.4806819543395","{""coordinates"": [2.4806819543395, 48.961308660974], ""type"": ""Point""}",ABD BOC
Abeille - AND,"48.9014973705614, 2.3619740803877","{""coordinates"": [2.3619740803877, 48.9014973705614], ""type"": ""Point""}",Abeille
Adagio Access Paris Porte de Charenton,"48.8297020849664, 2.40191754017758","{""coordinates"": [2.40191754017758, 48.8297020849664], ""type"": ""Point""}",Adagio Access Paris Porte de Charenton (TF DDS Hotel) - DDS
Aerodrome Cergy Pontoise,"49.1011127828304, 2.03578638821527","{""coordinates"": [2.03578638821527, 49.1011127828304], ""type"": ""Point""}",Aérodrome Cergy Pontoise (POX) - TA
Aerodrome Cergy Pontoise,"49.1010380053204, 2.0357228916977","{""coordinates"": [2.0357228916977, 49.1010380053204], ""type"": ""Point""}",Aérodrome Cergy Pontoise (POX) - TX
Aeroport Bron,"45.7314406869922, 4.93684219697699","{""coordinates"": [4.93684219697699, 45.7314406869922], ""type"": ""Point""}",
Aeroport CDG T1,"49.0154087780442, 2.54194113073593","{""coordinates"": [2.54194113073593, 49.0154087780442], ""type"": ""Point""}",Aéroport CDG T1
Aeroport CDG T1,"49.0153562869051, 2.54234891916252","{""coordinates"": [2.54234891916252, 49.0153562869051], ""type"": ""Point""}",Aéroport CDG T1
Aeroport CDG T1,"49.0152519107142, 2.54270654746026","{""coordinates"": [2.54270654746026, 49.0152519107142], ""type"": ""Point""}",Aéroport CDG T1
Aeroport CDG T2 ABCD,"49.0033769093765, 2.56510786354815","{""coordinates"": [2.56510786354815, 49.0033769093765], ""type"": ""Point""}",Aéroport CDG T2 ABCD
Aeroport CDG T2 ABCD,"49.0033842085435, 2.56488244929388","{""coordinates"": [2.56488244929388, 49.0033842085435], ""type"": ""Point""}",Aéroport CDG T2 ABCD
Aeroport CDG T2EF,"49.0044551372674, 2.57610346900121","{""coordinates"": [2.57610346900121, 49.0044551372674], ""type"": ""Point""}",Aéroport CDG T2EF
Aeroport CDG T2EF,"49.0043229802492, 2.57632632491975","{""coordinates"": [2.57632632491975, 49.0043229802492], ""type"": ""Point""}",Aéroport CDG T2EF
Aeroport CDG T2G,"49.0058830908713, 2.60288044110878","{""coordinates"": [2.60288044110878, 49.0058830908713], ""type"": ""Point""}",Aéroport CDG T2G
Aeroport CDG T3,"49.0132459339553, 2.55962811067061","{""coordinates"": [2.55962811067061, 49.0132459339553], ""type"": ""Point""}",Aéroport CDG T3
Aeroport d'Orly,"48.7288646925164, 2.36968977328398","{""coordinates"": [2.36968977328398, 48.7288646925164], ""type"": ""Point""}",Aéroport Orly T4
Aeroport d'Orly,"48.7282668254572, 2.35998961572573","{""coordinates"": [2.35998961572573, 48.7282668254572], ""type"": ""Point""}",Aéroport Orly T123
Aeroport d'Orly,"48.7287645396967, 2.36953926954127","{""coordinates"": [2.36953926954127, 48.7287645396967], ""type"": ""Point""}",Aéroport Orly T4
Aeroport d'Orly,"48.7404962441875, 2.36610527072153","{""coordinates"": [2.36610527072153, 48.7404962441875], ""type"": ""Point""}",Base de régulation Orly
Aeroport d'Orly,"48.7288411671098, 2.37001070899563","{""coordinates"": [2.37001070899563, 48.7288411671098], ""type"": ""Point""}",Aéroport Orly (ORY) - TA
Aeroport d'Orly,"48.7280761259801, 2.36007319729753","{""coordinates"": [2.36007319729753, 48.7280761259801], ""type"": ""Point""}",Aéroport Orly T123
Aeroport d'Orly,"48.7282221454871, 2.3598400273663","{""coordinates"": [2.3598400273663, 48.7282221454871], ""type"": ""Point""}",Aéroport Orly (ORY) - TA
Aeroport d'Orly,"48.7284689117276, 2.35989728957574","{""coordinates"": [2.35989728957574, 48.7284689117276], ""type"": ""Point""}",Aéroport Orly T123
Aeroport d'Orly 123,"48.7283137802101, 2.35958990764509","{""coordinates"": [2.35958990764509, 48.7283137802101], ""type"": ""Point""}",Aéroport d'Orly (ORY) - TX
Aeroport d'Orly T4,"48.7289467184872, 2.37002686789096","{""coordinates"": [2.37002686789096, 48.7289467184872], ""type"": ""Point""}",Aéroport d'Orly (ORY) - TX
Aeroport de Bordeaux-Merignac,"44.8302308133146, -0.700553405735765","{""coordinates"": [-0.700553405735765, 44.8302308133146], ""type"": ""Point""}",Stade de Bordeaux (BOR) - TX
Aeroport de Bordeaux-Merignac,"44.8297329598288, -0.700349211485171","{""coordinates"": [-0.700349211485171, 44.8297329598288], ""type"": ""Point""}",Aéroport de Bordeaux-Mérignac (BOD) - TA
Aeroport de Lille,"50.5720353322402, 3.10576990674589","{""coordinates"": [3.10576990674589, 50.5720353322402], ""type"": ""Point""}",
Aeroport de Nantes Atlantique,"47.1576031057335, -1.60097725860932","{""coordinates"": [-1.60097725860932, 47.1576031057335], ""type"": ""Point""}",Aéroport de Nantes Atlantique (NTE) - TA
Aeroport de Nice Cote d'Azur,"43.6608423546438, 7.20496862934836","{""coordinates"": [7.20496862934836, 43.6608423546438], ""type"": ""Point""}",Aéroport de Nice Côte d'Azur (NCE) - TA
Aeroport de Nice Cote d'Azur,"43.6610128450552, 7.204924040757","{""coordinates"": [7.204924040757, 43.6610128450552], ""type"": ""Point""}",Aéroport de Nice Côte d'Azur (NCE) - TF
Aeroport de Nice Cote d'Azur,"43.6599904329995, 7.20465409511181","{""coordinates"": [7.20465409511181, 43.6599904329995], ""type"": ""Point""}",Aéroport de Nice Côte d'Azur (NCE) - TX
Aeroport de Roissy - Ch. de Gaulle T1,"49.0141143710854, 2.54074044971368","{""coordinates"": [2.54074044971368, 49.0141143710854], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T1,"49.0142597971972, 2.542879064419","{""coordinates"": [2.542879064419, 49.0142597971972], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T2A,"49.0031073568591, 2.56253605695828","{""coordinates"": [2.56253605695828, 49.0031073568591], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T2BD,"49.0039947017605, 2.56256247820741","{""coordinates"": [2.56256247820741, 49.0039947017605], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T2C,"49.0033950912896, 2.56703100924774","{""coordinates"": [2.56703100924774, 49.0033950912896], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. De Gaulle T2E,"49.0037694988548, 2.57644267824239","{""coordinates"": [2.57644267824239, 49.0037694988548], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T2F,"49.0048795982617, 2.57633400544919","{""coordinates"": [2.57633400544919, 49.0048795982617], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T2G,"49.0055901956155, 2.60455646604576","{""coordinates"": [2.60455646604576, 49.0055901956155], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Ch. de Gaulle T3,"49.0134740458378, 2.56020478686218","{""coordinates"": [2.56020478686218, 49.0134740458378], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TX
Aeroport de Roissy - Charles de Gaulle,"49.0133256862097, 2.55967102588665","{""coordinates"": [2.55967102588665, 49.0133256862097], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0047118712811, 2.57470630756171","{""coordinates"": [2.57470630756171, 49.0047118712811], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0039955969081, 2.57943945713189","{""coordinates"": [2.57943945713189, 49.0039955969081], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0140542192221, 2.54079314398992","{""coordinates"": [2.54079314398992, 49.0140542192221], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.003767031467, 2.57631924483979","{""coordinates"": [2.57631924483979, 49.003767031467], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0153623031322, 2.54134127271661","{""coordinates"": [2.54134127271661, 49.0153623031322], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0048834675404, 2.57600490225499","{""coordinates"": [2.57600490225499, 49.0048834675404], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0039165987465, 2.56434117031774","{""coordinates"": [2.56434117031774, 49.0039165987465], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0033719231264, 2.56458483307929","{""coordinates"": [2.56458483307929, 49.0033719231264], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.005840863175, 2.60269590558987","{""coordinates"": [2.60269590558987, 49.005840863175], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0036554792802, 2.56009170674399","{""coordinates"": [2.56009170674399, 49.0036554792802], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Roissy - Charles de Gaulle,"49.0044564968721, 2.57630489035765","{""coordinates"": [2.57630489035765, 49.0044564968721], ""type"": ""Point""}",Aéroport de Roissy - Charles de Gaulle (CDG) - TA
Aeroport de Toussus-le-Noble,"48.7503825732192, 2.11302022695036","{""coordinates"": [2.11302022695036, 48.7503825732192], ""type"": ""Point""}",Aéroport de Toussus-le-Noble (TNF) - TA
Aeroport de Toussus-le-Noble,"48.750741523991, 2.11286444470704","{""coordinates"": [2.11286444470704, 48.750741523991], ""type"": ""Point""}",Aéroport de Toussus-le-Noble (TNF) - TX
Aeroport du Bourget,"48.958781204233, 2.44495938636154","{""coordinates"": [2.44495938636154, 48.958781204233], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget,"48.9562608592831, 2.44282449876631","{""coordinates"": [2.44282449876631, 48.9562608592831], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget,"48.9497244629657, 2.43736046460962","{""coordinates"": [2.43736046460962, 48.9497244629657], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget,"48.9509917997472, 2.43931736091276","{""coordinates"": [2.43931736091276, 48.9509917997472], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget,"48.9596132451071, 2.44580354042053","{""coordinates"": [2.44580354042053, 48.9596132451071], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget,"48.9619709322556, 2.44908081017267","{""coordinates"": [2.44908081017267, 48.9619709322556], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget,"48.9503243878405, 2.43873157310923","{""coordinates"": [2.43873157310923, 48.9503243878405], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TA
Aeroport du Bourget Allée de Berlin,"48.9504277450109, 2.43835628123804","{""coordinates"": [2.43835628123804, 48.9504277450109], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport du Bourget Allée de Bruxelles,"48.951238532201, 2.43872841822596","{""coordinates"": [2.43872841822596, 48.951238532201], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport du Bourget av. Europe,"48.9602389381989, 2.44555983736543","{""coordinates"": [2.44555983736543, 48.9602389381989], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport du Bourget rue Copenhague,"48.9586730377347, 2.44487389369595","{""coordinates"": [2.44487389369595, 48.9586730377347], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport du Bourget rue de Dublin,"48.9623486726676, 2.4491352831132","{""coordinates"": [2.4491352831132, 48.9623486726676], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport du Bourget rue de Londres,"48.956307964129, 2.4426760288094","{""coordinates"": [2.4426760288094, 48.956307964129], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport du Bourget rue Henri Lossier,"48.9496737632794, 2.43730980142422","{""coordinates"": [2.43730980142422, 48.9496737632794], ""type"": ""Point""}",Aéroport du Bourget (LBG) - TX
Aeroport Lyon St-Exupery / Gare St-Exupery,"45.7185776816383, 5.077478951549","{""coordinates"": [5.077478951549, 45.7185776816383], ""type"": ""Point""}",Aéroport de Lyon Saint-Exupéry / Lyon Gare Saint Exupéry (LYS) - TA
Aeroport Marseille Provence,"43.4465840290598, 5.22707768202583","{""coordinates"": [5.22707768202583, 43.4465840290598], ""type"": ""Point""}",Stade de Marseille (MRS) - TA
Aeroport Marseille Provence,"43.4408252030949, 5.22542856740365","{""coordinates"": [5.22542856740365, 43.4408252030949], ""type"": ""Point""}",Stade de Marseille (MRS) - TA
Aeroport Marseille Provence,"43.4455782787787, 5.21576528928108","{""coordinates"": [5.21576528928108, 43.4455782787787], ""type"": ""Point""}",Stade de Marseille (MRS) - TA
Aeroport Marseille Provence,"43.4408670738207, 5.22548489356859","{""coordinates"": [5.22548489356859, 43.4408670738207], ""type"": ""Point""}",Stade de Marseille (MRS) - TC
Aeroport Saint-Etienne Loire,"45.5317697535568, 4.29333193310724","{""coordinates"": [4.29333193310724, 45.5317697535568], ""type"": ""Point""}",Stade Geoffroy-Guichard (STE) - TA
Aparthotel Adagio Access La Vilette,"48.8968723533943, 2.38496728298044","{""coordinates"": [2.38496728298044, 48.8968723533943], ""type"": ""Point""}",Aparthotel Adagio Access Paris La Vilette (TF DDS Hotel) - DDS
Aparthotel Adagio Access Paris Clichy,"48.8981238423719, 2.30179138304808","{""coordinates"": [2.30179138304808, 48.8981238423719], ""type"": ""Point""}",Aparthotel Adagio Access Paris Clichy (TF DDS Hotel) - DDS
Aparthotel Adagio Access Paris Clichy,"48.8981894363655, 2.30194534110891","{""coordinates"": [2.30194534110891, 48.8981894363655], ""type"": ""Point""}",Aparthotel Adagio Access Paris Clichy (TF DDS Hotel) - DDS
Aparthotel Adagio Paris  Tour Eif.,"48.850024769778, 2.28526272970852","{""coordinates"": [2.28526272970852, 48.850024769778], ""type"": ""Point""}",Aparthotel Adagio Paris Centre - Tour Eiffel
Aparthotel Adagio Paris St Denis Pleyel,"48.9169047280964, 2.34442309644279","{""coordinates"": [2.34442309644279, 48.9169047280964], ""type"": ""Point""}",Aparthotel Adagio Access Paris Saint Denis Pleyel
Appart City Lille,"50.6286482105801, 3.08119267850744","{""coordinates"": [3.08119267850744, 50.6286482105801], ""type"": ""Point""}",
Apparthotel Mercure Paris Boulogne,"48.8342519172003, 2.25568698806132","{""coordinates"": [2.25568698806132, 48.8342519172003], ""type"": ""Point""}",Apparthotel Mercure Paris Boulogne
Apparthotel Torcy,"48.8420739190433, 2.65454605293482","{""coordinates"": [2.65454605293482, 48.8420739190433], ""type"": ""Point""}",Apparthotel Torcy
Arena Bercy,"48.8381659002792, 2.38198160996278","{""coordinates"": [2.38198160996278, 48.8381659002792], ""type"": ""Point""}",Arena Bercy (BCY) - PSH-TAXI
Arena Bercy,"48.8379083891389, 2.3793468763873","{""coordinates"": [2.3793468763873, 48.8379083891389], ""type"": ""Point""}",Arena Bercy (BCY) - TA
Arena Bercy,"48.8368029631505, 2.38428692413708","{""coordinates"": [2.38428692413708, 48.8368029631505], ""type"": ""Point""}",Arena Bercy (BCY) - PFR-PARKING
Arena Bercy,"48.8392936039502, 2.37748548357528","{""coordinates"": [2.37748548357528, 48.8392936039502], ""type"": ""Point""}",Arena Bercy (BCY) - TX
Arena Bercy,"48.8400810611677, 2.37893531734903","{""coordinates"": [2.37893531734903, 48.8400810611677], ""type"": ""Point""}",Arena Bercy (BCY) - TF
Arena Bercy,"48.8381659002792, 2.38198160996278","{""coordinates"": [2.38198160996278, 48.8381659002792], ""type"": ""Point""}",Arena Bercy (BCY) - PMR-TAXI
Arena Bercy,"48.8389537959244, 2.37685996508336","{""coordinates"": [2.37685996508336, 48.8389537959244], ""type"": ""Point""}",Arena Bercy (BCY) - TF
Arena Bercy,"48.8395816729918, 2.3780938982971","{""coordinates"": [2.3780938982971, 48.8395816729918], ""type"": ""Point""}",Arena Bercy (BCY) - SPS
Arena Bercy,"48.8388781021221, 2.37670626782984","{""coordinates"": [2.37670626782984, 48.8388781021221], ""type"": ""Point""}",Arena Bercy
Arena Bercy,"48.8397439542751, 2.38332469461881","{""coordinates"": [2.38332469461881, 48.8397439542751], ""type"": ""Point""}",Arena Bercy (BCY) - CIR P
Arena Bercy,"48.8368029631505, 2.38428692413708","{""coordinates"": [2.38428692413708, 48.8368029631505], ""type"": ""Point""}",Arena Bercy (BCY) - PMR-Parking
Arena Bercy,"48.8364670678788, 2.37913949042249","{""coordinates"": [2.37913949042249, 48.8364670678788], ""type"": ""Point""}",Arena Bercy (BCY) - DDS
Arena Bercy,"48.8390512777706, 2.3770252937232","{""coordinates"": [2.3770252937232, 48.8390512777706], ""type"": ""Point""}",Arena Bercy (BCY) - PHP
Arena Bercy,"48.8393697618441, 2.3776615605575","{""coordinates"": [2.3776615605575, 48.8393697618441], ""type"": ""Point""}",Arena Bercy (BCY) - PRT
Arena Bercy,"48.8391442351907, 2.38244031040811","{""coordinates"": [2.38244031040811, 48.8391442351907], ""type"": ""Point""}",Arena Bercy (BCY) - TAXI
Arena Bercy,"48.8394947292659, 2.37784629640073","{""coordinates"": [2.37784629640073, 48.8394947292659], ""type"": ""Point""}",Arena Bercy (BCY) - P2LZ
Arena Bercy,"48.8398360448333, 2.37849884160626","{""coordinates"": [2.37849884160626, 48.8398360448333], ""type"": ""Point""}",Arena Bercy (BCY) - CIR W
Arena Bercy,"48.8384185872089, 2.38163436169814","{""coordinates"": [2.38163436169814, 48.8384185872089], ""type"": ""Point""}",Arena Bercy (BCY) - PFR-navettes
Arena Bercy,"48.8399322697608, 2.37789304742304","{""coordinates"": [2.37789304742304, 48.8399322697608], ""type"": ""Point""}",Arena Bercy (BCY) - TAXI
Arena Bercy,"48.8390063291522, 2.37693913630432","{""coordinates"": [2.37693913630432, 48.8390063291522], ""type"": ""Point""}",Arena Bercy (BCY) - ENG
Arena Bercy,"48.8366074010126, 2.38371346391422","{""coordinates"": [2.38371346391422, 48.8366074010126], ""type"": ""Point""}",Arena Bercy (BCY) - PFR-PARKING
Arena Champ-de-Mars,"48.8502992055629, 2.30206313713648","{""coordinates"": [2.30206313713648, 48.8502992055629], ""type"": ""Point""}",Stade Tour Eiffel (EIF) - CIR P
Arena Champ-de-Mars,"48.850484899962, 2.30232432230533","{""coordinates"": [2.30232432230533, 48.850484899962], ""type"": ""Point""}",Arena Champ-de-Mars (CDM) - PFR-navettes
Arena Champ-de-Mars,"48.8504242988135, 2.30525200008824","{""coordinates"": [2.30525200008824, 48.8504242988135], ""type"": ""Point""}",
Arena Paris Nord,"48.9689777198562, 2.51380157873402","{""coordinates"": [2.51380157873402, 48.9689777198562], ""type"": ""Point""}",Arena Paris Nord (NPA) - DDS
Arena Paris Nord,"48.9687722138341, 2.5139015818864","{""coordinates"": [2.5139015818864, 48.9687722138341], ""type"": ""Point""}",Arena Paris Nord
Arena Paris Nord,"48.9734368727532, 2.51592425822453","{""coordinates"": [2.51592425822453, 48.9734368727532], ""type"": ""Point""}",Arena Paris Nord (NPA) - CIR P
Arena Paris Nord,"48.9747169997742, 2.51648099990164","{""coordinates"": [2.51648099990164, 48.9747169997742], ""type"": ""Point""}",Arena Paris Nord (NPA) - TAXI
Arena Paris Nord,"48.9734629399391, 2.51578734329715","{""coordinates"": [2.51578734329715, 48.9734629399391], ""type"": ""Point""}",APN
Arena Paris Nord,"48.9702098029371, 2.51418230720932","{""coordinates"": [2.51418230720932, 48.9702098029371], ""type"": ""Point""}",Arena Paris Nord (NPA) - P2LZ
Arena Paris Nord,"48.9692161321527, 2.51366839271339","{""coordinates"": [2.51366839271339, 48.9692161321527], ""type"": ""Point""}",Arena Paris Nord (NPA) - TF
Arena Paris Nord,"48.971013082051, 2.51389290236414","{""coordinates"": [2.51389290236414, 48.971013082051], ""type"": ""Point""}",Arena Paris Nord (NPA) - TA
Arena Paris Nord,"48.9713781241116, 2.52615584863222","{""coordinates"": [2.52615584863222, 48.9713781241116], ""type"": ""Point""}",
Arena Paris Nord,"48.9701211709072, 2.51414785681819","{""coordinates"": [2.51414785681819, 48.9701211709072], ""type"": ""Point""}",Arena Paris Nord (NPA) - TX
Arena Paris Nord,"48.9680094777003, 2.51480062031432","{""coordinates"": [2.51480062031432, 48.9680094777003], ""type"": ""Point""}",Arena Paris Nord (NPA) - CIR W
Arena Paris Nord,"48.9731269837159, 2.51548528657949","{""coordinates"": [2.51548528657949, 48.9731269837159], ""type"": ""Point""}",Arena Paris Nord (NPA) - PFR-navettes
Arena Paris Nord,"48.9693222885554, 2.51361480445421","{""coordinates"": [2.51361480445421, 48.9693222885554], ""type"": ""Point""}",Arena Paris Nord (NPA) - PHP
Arena Paris Nord,"48.9693366468849, 2.51359002057556","{""coordinates"": [2.51359002057556, 48.9693366468849], ""type"": ""Point""}",Arena Paris Nord (NPA) - ENG
Arena Paris Nord,"48.9739104200429, 2.52799600412424","{""coordinates"": [2.52799600412424, 48.9739104200429], ""type"": ""Point""}",Arena Paris Nord (NPA) - PMR-TAXI
Arena Paris Nord,"48.9731330000754, 2.51596600024086","{""coordinates"": [2.51596600024086, 48.9731330000754], ""type"": ""Point""}",Arena Paris Nord (NPA) - PSH-TAXI
Arena Paris Nord,"48.9705419518173, 2.52572404908163","{""coordinates"": [2.52572404908163, 48.9705419518173], ""type"": ""Point""}",Parking Parc des expo Villepinte
Arena Paris Nord,"48.9734642383743, 2.51583239021536","{""coordinates"": [2.51583239021536, 48.9734642383743], ""type"": ""Point""}",APN
Arena Paris Nord,"48.973192091893, 2.51533685781479","{""coordinates"": [2.51533685781479, 48.973192091893], ""type"": ""Point""}",Arena Paris Nord (NPA) - PFR-navettes
Arena Paris Nord,"48.9680393084064, 2.51434433094723","{""coordinates"": [2.51434433094723, 48.9680393084064], ""type"": ""Point""}",Arena Paris Nord
Arena Paris Nord,"48.973450153711, 2.51587172923829","{""coordinates"": [2.51587172923829, 48.973450153711], ""type"": ""Point""}",APN
Arena Paris Sud,"48.8337030982568, 2.28539994826649","{""coordinates"": [2.28539994826649, 48.8337030982568], ""type"": ""Point""}",Arena Paris Sud (SPA) - PMR-Parking
Arena Paris Sud,"48.8293410504898, 2.2932838210164","{""coordinates"": [2.2932838210164, 48.8293410504898], ""type"": ""Point""}",Arena Paris Sud (SPA) - PFR-PARKING
Arena Paris Sud,"48.8337030982568, 2.28539994826649","{""coordinates"": [2.28539994826649, 48.8337030982568], ""type"": ""Point""}",Arena Paris Sud (SPA) - PFR-PARKING
Arena Paris Sud,"48.8292042070956, 2.293270383699","{""coordinates"": [2.293270383699, 48.8292042070956], ""type"": ""Point""}",
Arena Paris Sud,"48.8297391561497, 2.29326808612591","{""coordinates"": [2.29326808612591, 48.8297391561497], ""type"": ""Point""}",Arena Paris Sud (SPA) - PMR-Parking
Arena Paris Sud,"48.8327178545874, 2.28738293491181","{""coordinates"": [2.28738293491181, 48.8327178545874], ""type"": ""Point""}",
Arena Paris Sud,"48.8330259999507, 2.2876880004143","{""coordinates"": [2.2876880004143, 48.8330259999507], ""type"": ""Point""}",Arena Paris Sud (SPA) - TAXI
Arena Paris Sud - Arena Paris Sud 5,"48.830653946088, 2.28992088163056","{""coordinates"": [2.28992088163056, 48.830653946088], ""type"": ""Point""}",Arena Paris Sud (SPA)  SP5 - TA
Arena Paris Sud - Arena Paris Sud 5,"48.8306720259923, 2.28987099728455","{""coordinates"": [2.28987099728455, 48.8306720259923], ""type"": ""Point""}",Arena Paris Sud (SPA)  SP5 - TA
Arena Paris Sud - Arena Paris Sud 5,"48.830632758045, 2.28996737303978","{""coordinates"": [2.28996737303978, 48.830632758045], ""type"": ""Point""}",Arena Paris Sud (SPA)  SP5 - TA
Arena Paris Sud - Arena Paris Sud 5,"48.8306056499918, 2.29001445015057","{""coordinates"": [2.29001445015057, 48.8306056499918], ""type"": ""Point""}",Arena Paris Sud (SPA)  SP5 - TA
Arena Paris Sud 1,"48.8338234350625, 2.2835456853829","{""coordinates"": [2.2835456853829, 48.8338234350625], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - OHE
Arena Paris Sud 1,"48.8335291762098, 2.28331680183501","{""coordinates"": [2.28331680183501, 48.8335291762098], ""type"": ""Point""}",Arena Paris Sud 1 (SP1)  SPA - CIR W
Arena Paris Sud 1,"48.8337527732647, 2.28372884019121","{""coordinates"": [2.28372884019121, 48.8337527732647], ""type"": ""Point""}",Arena Paris Sud (SPA) - CIR P
Arena Paris Sud 1,"48.8308622719522, 2.28395355350555","{""coordinates"": [2.28395355350555, 48.8308622719522], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - PHP
Arena Paris Sud 1,"48.8308455473051, 2.28401089515286","{""coordinates"": [2.28401089515286, 48.8308455473051], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - PHP
Arena Paris Sud 1,"48.8324967328296, 2.28158920859301","{""coordinates"": [2.28158920859301, 48.8324967328296], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - DDS
Arena Paris Sud 1,"48.832576327794, 2.281724284669","{""coordinates"": [2.281724284669, 48.832576327794], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TF
Arena Paris Sud 1,"48.8332663051779, 2.28308321919991","{""coordinates"": [2.28308321919991, 48.8332663051779], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TA
Arena Paris Sud 1,"48.8330450197906, 2.28276850701651","{""coordinates"": [2.28276850701651, 48.8330450197906], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TA
Arena Paris Sud 1,"48.8336421308805, 2.28356433171325","{""coordinates"": [2.28356433171325, 48.8336421308805], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - CIR P
Arena Paris Sud 1,"48.8308933320112, 2.28391293650537","{""coordinates"": [2.28391293650537, 48.8308933320112], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TX
Arena Paris Sud 1,"48.8326473980831, 2.28182524362885","{""coordinates"": [2.28182524362885, 48.8326473980831], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TF
Arena Paris Sud 1,"48.8339788037444, 2.28378171772379","{""coordinates"": [2.28378171772379, 48.8339788037444], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - OHE
Arena Paris Sud 1,"48.8320123072914, 2.28107855413576","{""coordinates"": [2.28107855413576, 48.8320123072914], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - SPS
Arena Paris Sud 1,"48.8331250591478, 2.28286148983494","{""coordinates"": [2.28286148983494, 48.8331250591478], ""type"": ""Point""}",Arena Paris Sud 1 (SP1) - TA
